Scryfall ID,mana_cost,cmc,type_line,oracle_text,power,toughness,colors,keywords,legalities,games,reserved,uri,is_permanent,is_dual_face,is_historic,is_legendary,is_creature,front_types,front_subtypes,back_types,back_subtypes,produced_mana,edhrec_rank,penny_rank,back_oracle_text,back_mana_cost,back_colors,back_power,back_toughness
2729cce6-f380-4c94-ac64-3a2487da6130,{W},1.0,Host Creature — Cat,"When this creature enters, roll a six-sided die. You gain life equal to the result.",1,1,['W'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/2/7/2729cce6-f380-4c94-ac64-3a2487da6130.jpg?1562903269,False,False,False,False,True,"['Host', 'Creature']",['Cat'],[],[],,,,,,,,
6a81eb1b-e97b-46a7-aa5f-dcb5d20f2e22,{2}{U},3.0,Enchantment — Aura,"Enchant creature
As Magic Word enters, choose a word.
Whisper the chosen word: Tap enchanted creature.",,,['U'],['Enchant'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/6/a/6a81eb1b-e97b-46a7-aa5f-dcb5d20f2e22.jpg?1562917275,False,False,False,False,False,['Enchantment'],['Aura'],[],[],,,,,,,,
30e99b47-acda-4888-8b2e-0852ba3b931c,{4}{U},5.0,Host Creature — Human Fish,"When this creature enters, you may draw a card.",3,3,['U'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/3/0/30e99b47-acda-4888-8b2e-0852ba3b931c.jpg?1562905290,False,False,False,False,True,"['Host', 'Creature']","['Human', 'Fish']",[],[],,,,,,,,
5bd90f0f-9009-4002-86ae-3353843735c7,{U},1.0,Artifact Creature — Cyborg Knight,"{T}: Uninstall all results from Socketed Sprocketer, then roll a six-sided die. Install the result on Socketed Sprocketer. (Put the die on this card.)
You may uninstall a result from Socketed Sprocketer to use it for a die you rolled.
Uninstall a 6 from Socketed Sprocketer: Draw a card.",1,1,['U'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/5/b/5bd90f0f-9009-4002-86ae-3353843735c7.jpg?1562914184,True,False,False,False,True,"['Artifact', 'Creature']","['Cyborg', 'Knight']",[],[],,,,,,,,
f631bd92-2046-468d-8b10-d583a318ed24,{2}{U}{U},4.0,Instant,"Counter target spell, then assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",,,['U'],['Assemble'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/f/6/f631bd92-2046-468d-8b10-d583a318ed24.jpg?1562946926,False,False,False,False,False,['Instant'],[],[],[],,,,,,,,
380d297c-674a-4d0f-964d-7405db81b27a,{B},1.0,Creature — Human Villain,"As Hangman enters, secretly note a word with six to eight letters.
{1}: Target player who doesn't control Hangman guesses the noted word or an unguessed letter in that word. If they guess wrong, put a +1/+1 counter on Hangman. Any player may activate this ability.
When a player guesses the noted word or all of its letters, sacrifice Hangman.",1,1,['B'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/3/8/380d297c-674a-4d0f-964d-7405db81b27a.jpg?1562906782,False,False,False,False,True,['Creature'],"['Human', 'Villain']",[],[],,,,,,,,
4329d79a-08d8-4228-9ca2-97747eec2c44,{3}{B},4.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets +2/+1 and has menace.
Whenever a player's skin or fingernail touches enchanted creature, that player loses 2 life.",,,['B'],['Enchant'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/4/3/4329d79a-08d8-4228-9ca2-97747eec2c44.jpg?1562908891,False,False,False,False,False,['Enchantment'],['Aura'],[],[],,,,,,,,
2fc122cf-a4bf-42e0-884a-f655c68a46e5,{2}{B},3.0,Creature — Zombie,Hoisted Hireling has flying as long as it's being held above the battlefield.,2,1,['B'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/2/f/2fc122cf-a4bf-42e0-884a-f655c68a46e5.jpg?1562905065,False,False,False,False,True,['Creature'],['Zombie'],[],[],,,,,,,,
bb3492b7-325b-40f4-b84f-cd1ba1d0256e,{3}{B},4.0,Creature — Human Ninja Rigger,"Menace
Whenever Overt Operative deals combat damage to a player, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",2,3,['B'],"['Assemble', 'Menace']","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/b/b/bb3492b7-325b-40f4-b84f-cd1ba1d0256e.jpg?1562934574,False,False,False,False,True,['Creature'],"['Human', 'Ninja', 'Rigger']",[],[],,,,,,,,
90b719a4-3ac5-4e45-baa6-4c058e764129,{4}{B},5.0,Host Creature — Scorpion,"When this creature enters, target creature an opponent controls gets -1/-1 until end of turn.",3,2,['B'],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'explorer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",['paper'],False,https://cards.scryfall.io/border_crop/front/9/0/90b719a4-3ac5-4e45-baa6-4c058e764129.jpg?1562925489,False,False,False,False,True,"['Host', 'Creature']",['Scorpion'],[],[],,,,,,,,
